t_s,prompt_tokens,output_tokens,tenant
0.000000,2596,245,1
0.511302,3950,19,0
0.687058,191,253,2
0.695050,556,1507,1
0.834511,360,54,2
1.018361,236,79,1
1.020945,1274,309,1
1.319770,1715,186,1
1.872546,702,110,0
1.916835,11440,374,0
2.310089,1581,74,0
2.748621,450,172,0
2.819906,848,66,0
2.845110,804,122,2
3.071256,548,129,0
3.082046,290,150,0
3.135519,948,181,0
3.564359,497,142,0
3.601440,735,647,0
4.052676,732,207,1
4.299873,1038,33,0
4.316287,556,280,0
4.376286,79,19,1
4.632670,462,489,1
4.644353,867,47,0
4.779606,2424,289,1
4.820997,821,173,0
4.875955,577,167,0
5.249949,1055,155,2
5.492694,407,165,0
6.127214,768,89,1
6.136864,808,219,0
6.412818,670,54,1
6.846321,940,450,0
7.006405,16193,498,0
7.810487,1744,1190,1
8.163862,755,98,1
9.037848,826,128,1
9.134166,1240,125,0
9.273433,930,344,0
9.281336,2187,1094,2
9.386156,1193,389,0
9.459897,3018,77,0
9.502471,1189,184,1
9.551751,622,193,1
9.790672,1444,364,1
10.168647,903,52,1
10.586768,366,499,0
10.786731,2319,708,0
10.856103,2596,74,1
10.966056,142,159,0
11.141047,608,415,1
11.594256,955,28,2
11.849554,819,70,2
12.033146,2357,450,0
12.033602,263,145,0
12.053466,421,1109,2
12.069821,454,25,0
12.079131,305,738,0
12.103045,508,177,2
12.114159,41309,486,0
12.163140,3083,364,0
12.241989,871,246,0
12.270533,1508,2927,2
12.317161,419,103,1
12.318122,3861,235,2
12.373779,785,459,0
12.387469,1961,331,1
12.439431,12304,697,0
12.498751,1659,430,1
12.501690,451,541,2
12.519455,462,351,0
12.573731,318,391,0
12.606418,347,363,0
12.634927,3085,205,0
12.662161,63,289,0
12.702920,820,250,2
12.776884,296,106,0
12.816869,959,259,0
12.881932,2589,289,1
12.955785,4360,303,1
12.957512,543,116,0
12.972438,1241,177,0
12.982432,323,753,1
12.993127,119,181,0
13.009453,716,61,1
13.022628,4272,170,1
13.046562,785,100,1
13.086060,425,274,0
13.105409,1131,124,1
13.111364,1448,252,0
13.129119,2165,378,0
13.155122,1187,68,1
13.212668,422,262,0
13.212752,2090,270,2
13.253208,1518,140,0
13.266420,26652,348,2
13.290390,295,108,2
13.349486,389,42,2
13.448824,585,67,0
13.536140,6023,117,0
13.539005,611,84,1
13.554800,1462,601,0
13.568941,397,1458,0
13.570134,266,81,0
13.579259,782,2237,0
13.627660,324,873,0
13.632536,332,51,0
13.633387,4194,501,2
13.684933,2400,654,0
13.693301,1382,556,2
13.745802,925,749,0
13.771735,35430,133,0
13.851274,972,820,2
13.873198,1629,123,0
13.880093,12008,150,1
13.919241,740,3675,0
13.980229,550,336,1
14.387220,823,121,2
14.429891,631,2150,2
14.536874,907,426,0
14.811919,2436,437,0
15.109287,3151,52,2
15.121151,710,163,2
15.206068,251,110,1
15.210255,529,121,0
15.837107,254,316,0
15.846056,820,35,0
15.977238,631,798,0
16.174500,1264,387,0
16.311982,590,158,1
16.344036,1736,605,0
16.544234,1001,255,0
16.633061,349,95,1
17.108358,670,476,1
17.123295,1205,500,1
17.315068,18113,184,1
17.339166,187,219,0
17.841711,138,90,0
17.854779,992,114,0
17.906462,79,362,0
18.104788,606,144,1
18.697911,33042,633,0
19.186671,366,84,0
19.196970,1400,37,0
19.698969,13609,432,0
20.773479,1479,571,1
20.786234,363,187,0
20.951810,146,39,0
21.089346,2765,241,0
21.090505,249,195,0
21.484491,962,107,1
21.889606,1852,43,1
21.992269,1493,209,1
22.052180,18810,255,1
22.207573,821,209,0
22.566431,13732,385,0
22.838458,5718,65,1
23.138681,763,80,0
23.148721,527,782,1
23.196915,1547,27,0
23.239031,143,1493,1
23.593880,610,104,0
23.629239,673,139,1
23.708228,301,250,0
23.847395,2335,173,2
23.915598,1180,591,0
24.019035,480,64,0
24.336231,3060,338,2
24.544550,578,150,0
24.734308,1133,315,0
24.854846,389,194,0
24.862380,361,40,0
25.026666,669,231,1
25.317730,1003,335,1
25.392056,24145,202,1
25.716236,677,52,1
25.860368,20009,440,0
26.219763,2008,174,0
26.524428,642,742,1
27.038194,1112,534,2
27.134055,17825,111,0
27.189440,268,2054,0
27.573035,10310,92,0
27.718866,1435,1383,2
27.801835,2370,255,0
27.972416,4413,75,2
28.090109,714,44,1
28.620584,294,33,0
28.754513,1254,499,2
28.784753,4914,111,1
28.829682,207,1762,0
28.950586,4294,245,0
29.132950,728,255,2
29.170343,345,620,0
